"x" "y" "z"
"474" "15" 0.72 23.76
"475" "15" 0.72 24.48
"476" "15" 0.72 25.2
"477" "15" 0.72 25.92
"478" "15" 0.72 26.64
"479" "15" 0.72 27.36
"480" "15" 0.72 28.08
"481" "15" 0.72 28.8
"482" "15" 0.72 29.52
"483" "15" 0.72 30.24
"484" "15" 0.72 30.96
"485" "15" 0.72 31.68
"486" "15" 0.72 32.4
"487" "15" 0.72 33.12
"488" "15" 0.72 33.84
"489" "15" 0.72 34.56
"490" "15" 0.72 35.28
"491" "15" 0.72 36
"492" "15" 0.72 36.72
"493" "15" 0.72 37.44
"494" "15" 0.72 38.16
"495" "15" 0.72 38.88
"496" "15" 0.72 39.6
"497" "15" 0.72 40.32
"498" "15" 0.72 41.04
"499" "15" 0.72 41.76
"500" "15" 0.72 42.48
"501" "15" 0.72 43.2
"502" "15" 0.72 43.92
"503" "15" 0.72 44.64
"504" "15" 0.359999999999999 45
"505" "16" 0.72 0.72
"506" "16" 0.72 1.44
"507" "16" 0.72 2.16
"508" "16" 0.72 2.88
"509" "16" 0.72 3.6
"510" "16" 0.72 4.32
"511" "16" 0.72 5.04
"512" "16" 0.72 5.76
"513" "16" 0.72 6.48
"514" "16" 0.72 7.2
"515" "16" 0.72 7.92
"516" "16" 0.72 8.64
"517" "16" 0.72 9.36
"518" "16" 0.72 10.08
"519" "16" 0.72 10.8
"520" "16" 0.72 11.52
"521" "16" 0.72 12.24
"522" "16" 0.72 12.96
"523" "16" 0.72 13.68
"524" "16" 0.72 14.4
"525" "16" 0.72 15.12
"526" "16" 0.72 15.84
"527" "16" 0.72 16.56
"528" "16" 0.72 17.28
"529" "16" 0.72 18
"530" "16" 0.72 18.72
"531" "16" 0.72 19.44
"532" "16" 0.72 20.16
"533" "16" 0.72 20.88
"534" "16" 0.72 21.6
"535" "16" 0.72 22.32
"536" "16" 0.72 23.04
"537" "16" 0.72 23.76
"538" "16" 0.72 24.48
"539" "16" 0.72 25.2
"540" "16" 0.72 25.92
"541" "16" 0.72 26.64
"542" "16" 0.72 27.36
"543" "16" 0.72 28.08
"544" "16" 0.72 28.8
"545" "16" 0.72 29.52
"546" "16" 0.72 30.24
"547" "16" 0.72 30.96
"548" "16" 0.72 31.68
"549" "16" 0.72 32.4
"550" "16" 0.72 33.12
"551" "16" 0.72 33.84
"552" "16" 0.72 34.56
"553" "16" 0.72 35.28
"554" "16" 0.72 36
"555" "16" 0.72 36.72
"556" "16" 0.72 37.44
"557" "16" 0.72 38.16
"558" "16" 0.72 38.88
"559" "16" 0.72 39.6
"560" "16" 0.72 40.32
"561" "16" 0.72 41.04
"562" "16" 0.72 41.76
"563" "16" 0.72 42.48
"564" "16" 0.72 43.2
"565" "16" 0.72 43.92
"566" "16" 0.72 44.64
"567" "16" 0.72 45.36
"568" "16" 0.72 46.08
"569" "16" 0.72 46.8
"570" "16" 0.72 47.52
"571" "16" 0.480000000000004 48
"572" "17" 0.72 0.72
"573" "17" 0.72 1.44
"574" "17" 0.72 2.16
"575" "17" 0.72 2.88
"576" "17" 0.72 3.6
"577" "17" 0.72 4.32
"578" "17" 0.72 5.04
"579" "17" 0.72 5.76
"580" "17" 0.72 6.48
"581" "17" 0.72 7.2
"582" "17" 0.72 7.92
"583" "17" 0.72 8.64
"584" "17" 0.72 9.36
"585" "17" 0.72 10.08
"586" "17" 0.72 10.8
"587" "17" 0.72 11.52
"588" "17" 0.72 12.24
"589" "17" 0.72 12.96
"590" "17" 0.72 13.68
"591" "17" 0.72 14.4
"592" "17" 0.72 15.12
"593" "17" 0.72 15.84
"594" "17" 0.72 16.56
"595" "17" 0.72 17.28
"596" "17" 0.72 18
"597" "17" 0.72 18.72
"598" "17" 0.72 19.44
"599" "17" 0.72 20.16
"600" "17" 0.72 20.88
"601" "17" 0.72 21.6
"602" "17" 0.72 22.32
"603" "17" 0.72 23.04
"604" "17" 0.72 23.76
"605" "17" 0.72 24.48
"606" "17" 0.72 25.2
"607" "17" 0.72 25.92
"608" "17" 0.72 26.64
"609" "17" 0.72 27.36
"610" "17" 0.72 28.08
"611" "17" 0.72 28.8
"612" "17" 0.72 29.52
"613" "17" 0.72 30.24
"614" "17" 0.72 30.96
"615" "17" 0.72 31.68
"616" "17" 0.72 32.4
"617" "17" 0.72 33.12
"618" "17" 0.72 33.84
"619" "17" 0.72 34.56
"620" "17" 0.72 35.28
"621" "17" 0.72 36
"622" "17" 0.72 36.72
"623" "17" 0.72 37.44
"624" "17" 0.72 38.16
"625" "17" 0.72 38.88
"626" "17" 0.72 39.6
"627" "17" 0.72 40.32
"628" "17" 0.72 41.04
"629" "17" 0.72 41.76
"630" "17" 0.72 42.48
"631" "17" 0.72 43.2
"632" "17" 0.72 43.92
"633" "17" 0.72 44.64
"634" "17" 0.72 45.36
"635" "17" 0.72 46.08
"636" "17" 0.72 46.8
"637" "17" 0.72 47.52
"638" "17" 0.72 48.24
"639" "17" 0.72 48.96
